라사, 44, 193
다카, 68, 180
마사, 75, 177
마차, 41, 152
자차, 50, 167
가사, 65, 196
나다, 76, 173
마타, 86, 145
타사, 48, 165
바다, 43, 163
아카, 71, 148
마자, 69, 190
나나, 83, 141
차타, 44, 188
사차, 82, 185
파마, 60, 171
파바, 51, 186
차라, 56, 140
사가, 75, 165
하하, 96, 164
하자, 98, 152
파사, 48, 189
타나, 48, 161
파차, 54, 155
마나, 56, 142
바라, 58, 189
자나, 66, 171
차하, 50, 169
카사, 63, 189
가바, 69, 188
카자, 82, 162
자카, 77, 150
가타, 55, 154
타타, 87, 142
마타, 58, 189
아카, 64, 195
마차, 74, 150
다하, 88, 183
마다, 41, 189
나아, 84, 142
라라, 77, 196
나하, 92, 182
파가, 58, 197
타하, 82, 141
파나, 85, 158
카아, 43, 154
자바, 51, 171
나라, 49, 178
사나, 88, 192
아차, 45, 191
타자, 86, 166
라파, 72, 183
라하, 55, 198
나카, 57, 145
사차, 92, 149
차라, 54, 199
카아, 67, 180
차카, 53, 180
다하, 94, 192
카가, 66, 183
마하, 65, 152
차바, 73, 196
아가, 57, 162
파바, 40, 193
라차, 42, 141
바자, 72, 167
라나, 89, 158
차바, 87, 162
바사, 81, 167
나타, 87, 180
차파, 60, 143
파카, 42, 177
차차, 54, 188
카바, 42, 159
라라, 65, 153
하가, 87, 157
마사, 87, 150
카바, 67, 196
하가, 91, 147
바하, 85, 176
자하, 83, 166
나마, 62, 164
다하, 61, 170
파하, 51, 150
바자, 67, 182
라아, 80, 178
하바, 84, 173
파사, 45, 158
가차, 66, 146
라하, 46, 165
라바, 47, 172
나파, 82, 190
차가, 95, 176
마하, 47, 182
라라, 84, 153
사바, 81, 164
바파, 60, 186
사마, 58, 191
마타, 79, 165
아바, 58, 182
바타, 51, 177
나차, 60, 189
차차, 93, 164
카아, 50, 163
타차, 81, 196
나사, 90, 194
마마, 82, 187
자다, 54, 195
바사, 84, 164
하다, 41, 199
마아, 69, 147
나마, 72, 198
마파, 57, 193
카마, 67, 142
타마, 82, 168
하사, 60, 193
나카, 46, 196
타자, 67, 147
자타, 44, 151
사나, 99, 187
바바, 88, 163
가라, 56, 152
다라, 77, 181
나마, 55, 140
파마, 70, 188
바아, 83, 147
카차, 48, 149
파하, 57, 149
아자, 79, 158
다자, 92, 150
가타, 44, 196
사가, 59, 168
라자, 50, 176
자차, 59, 150
다카, 74, 170
타다, 44, 186
하나, 68, 174
하나, 60, 178
나라, 55, 196
타하, 89, 157
마마, 51, 150
라나, 69, 176
라바, 96, 151
사차, 83, 189
자라, 99, 158
바자, 61, 185
카자, 45, 147
하가, 62, 153
라마, 91, 197
사하, 66, 188
바나, 89, 152
라아, 66, 181
아라, 93, 173
라자, 49, 191
타카, 50, 188
라마, 42, 180
하사, 47, 160
가사, 83, 148
파아, 73, 141
타나, 77, 153
하나, 83, 147
사차, 93, 177
마타, 88, 175
라다, 95, 198
사카, 44, 156
자바, 84, 168
자타, 46, 159
아아, 96, 150
자바, 66, 198
차다, 64, 164
나차, 71, 145
다다, 93, 159
하하, 90, 196
마다, 70, 152
마카, 94, 190
아타, 54, 165
아자, 42, 171
라파, 87, 151
다하, 73, 150
타다, 76, 185
타타, 57, 171
마바, 94, 197
마사, 75, 186
다다, 47, 181
라타, 91, 158
하아, 59, 170
아다, 72, 182
다나, 80, 159
라하, 44, 154
차아, 53, 199
아차, 61, 194
자라, 91, 184
차나, 77, 157
차나, 60, 184
다아, 54, 174
나아, 90, 144
차라, 70, 149
마나, 95, 189
사바, 58, 143
파아, 99, 179
하카, 80, 157
아나, 61, 158
사카, 61, 169
마차, 84, 189
가하, 92, 143
파다, 61, 152
가바, 41, 160
아다, 90, 196
라다, 59, 188
가자, 53, 150
사아, 65, 152
카라, 65, 161
카자, 48, 174
바나, 54, 168
차하, 71, 142
다다, 46, 178
나바, 96, 190
파카, 45, 190
마타, 86, 198
가차, 92, 179
타사, 86, 195
카마, 62, 171
가아, 77, 142
아마, 93, 149
타아, 53, 182
라바, 41, 147
마라, 56, 172
가마, 86, 186
바가, 70, 146
다차, 44, 147
하바, 72, 168
다라, 59, 142
다자, 88, 142
마자, 68, 191
나마, 48, 175
바라, 94, 164
타사, 61, 162
나하, 64, 188
가타, 65, 142
바타, 89, 193
마사, 48, 145
자바, 63, 156
파사, 94, 189
차파, 47, 195
타다, 60, 156
아마, 43, 154
사마, 41, 161
라마, 88, 180
아타, 46, 169
파다, 89, 152
하타, 78, 144
하가, 55, 185
자라, 77, 172
타하, 67, 181
자사, 93, 149
나타, 47, 178
나나, 86, 191
마파, 74, 147
가카, 44, 177
가다, 75, 145
카자, 81, 192
사나, 61, 184
라바, 82, 177
라마, 52, 164
마파, 50, 150
마자, 68, 158
바라, 83, 152
차나, 51, 144
자사, 88, 186
가바, 42, 193
카나, 93, 195
타하, 68, 142
바파, 49, 179
다아, 72, 187
가나, 98, 187
라라, 61, 181
나마, 67, 192
자다, 84, 140
파타, 83, 152
하파, 87, 185
다타, 45, 184
사가, 63, 198
차차, 93, 148
나바, 88, 175
나하, 59, 193
마타, 89, 178
타마, 62, 170
다사, 56, 184
사다, 41, 172
